1/16/2018,03 11 23 29 59
1/12/2018,17 18 33 46 60
1/9/2018,16 29 31 65 67
1/5/2018,28 30 39 59 70
1/2/2018,01 42 47 64 70
12/29/2017,04 10 18 28 62
12/26/2017,10 12 20 38 41
12/22/2017,01 20 30 33 42
12/19/2017,28 37 39 42 58
12/15/2017,04 12 36 44 57
12/12/2017,08 23 24 25 27
12/8/2017,06 37 46 60 70
12/5/2017,14 15 37 42 67
12/1/2017,16 22 40 41 59
11/28/2017,10 17 47 51 61
11/24/2017,16 36 54 61 64
11/21/2017,03 07 22 27 50
11/17/2017,03 26 55 58 70
11/14/2017,01 14 21 22 28
11/10/2017,06 23 38 42 58
11/7/2017,01 54 60 68 69
11/3/2017,10 22 42 61 69
10/31/2017,06 28 31 52 53
10/27/2017,17 27 41 51 52
10/24/2017,20 24 34 56 64
10/20/2017,06 23 63 66 73
